	smiles_string	prop	value
62	*c1cc(-c2ccc(N)c(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)ccc1N	Tc	0.336159954
63	[*]c1cc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c(O)cc1O	Tc	0.335597911
64	*Cc1ccc(N2C(=O)c3cc4cc5c(cc4cc3C2=O)Cc2cc3cc4c(cc3cc2C5)C(=O)N(*)C4=O)cc1	Tc	0.333760815
65	[*]NNC(=O)c1ccc2cc(C(=O)NNC(=O)c3cccc(C([*])=O)c3)ccc2c1	Tc	0.331015621
66	*c1cc(-c2ccc(N)c(N3C(=O)c4cc5cc6c(cc5cc4C3=O)Cc3cc4cc5c(cc4cc3C6)C(=O)N(*)C5=O)c2)ccc1N	Tc	0.330037238
67	[*]Oc1ccc(C(=O)NNC(=O)c2ccc([*])cc2)cc1	Tc	0.326300087
68	[*]NNC(=O)c1cccc(C(=O)NNC(=O)c2ccc(C([*])=O)cc2)c1	Tc	0.325886261
69	[*]Nc1cccc(C#Cc2ccc(C([*])=O)cc2)c1	Tc	0.325458292
70	*C(=C)C(=C)N1C(=O)c2cc3cc4c(cc3cc2C1=O)Cc1cc2cc3c(cc2cc1C4)C(=O)N(*)C3=O	Tc	0.323634615
71	[*]c1ccc(Cc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1	Tc	0.318064614
72	[*]Nc1cccc(NC(=O)c2ccc(C([*])=O)cc2)c1	Tc	0.316648451
73	[*]c1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)c2)cc1	Tc	0.314502553
74	*c1cc(-c2ccc(N)c(N3C(=O)c4ccc5c6ccc7c8c(cnc(c9ncc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c2)ccc1N	Tc	0.309726371
75	*C1OC1NN1C(=O)c2cc3cc4c(cc3cc2C1=O)Cc1cc2cc3c(cc2cc1C4)C(=O)N(*)C3=O	Tc	0.309699947
76	*C(c1ccccc1)N1C(=O)c2cc3cc4c(cc3cc2C1=O)Cc1cc2cc3c(cc2cc1C4)C(=O)N(*)C3=O	Tc	0.308498923
77	[*]NNC(=O)c1cccc(C([*])=O)c1	Tc	0.308236427
78	*CN1C(=O)c2cc3cc4c(cc3cc2C1=O)Cc1cc2cc3c(cc2cc1C4)C(=O)N(*)C3=O	Tc	0.307791919
79	[*]NC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cccc([*])n3)cc2)cc1	Tc	0.306039137
80	[*]c1ccc(Nc2cccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)c2)cc1	Tc	0.305860229
81	*CC(C)=Cc1ccc2nc(N3C(=O)c4cc5cc6c(cc5cc4C3=O)Cc3cc4cc5c(cc4cc3C6)C(=O)N(*)C5=O)ncc2c1	Tc	0.304282307
82	[*]C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc([*])ccc6[nH]5)c4)nc3c2)c1	Tc	0.301618196
83	*Nc1cc(N2C(=O)c3cc4cc5c(cc4cc3C2=O)Cc2cc3cc4c(cc3cc2C5)C(=O)N(*)C4=O)ccn1	Tc	0.294366763
84	[*]c1nc2cc(-c3ccc4oc(-c5cccc6cc7c([*])cccc7cc56)nc4c3)ccc2o1	Tc	0.281840087
85	*c1cc(-c2ccc(N)c(N3C(=O)c4ccc5c6ccc7c8c(ccc(c9ccc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c2)ccc1N	Tc	0.281422706
86	[*]c1cccc(-c2nc3cc(-c4ccc5oc([*])nc5c4)ccc3o2)c1	Tc	0.280706431
87	*c1ccc(C)c(N2C(=O)c3cc4cc5c(cc4cc3C2=O)Cc2cc3cc4c(cc3cc2C5)C(=O)N(*)C4=O)c1	Tc	0.279874686
88	*c1ccc2[nH]c3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3c2c1	Tc	0.277203535
89	*Cc1ccc2ccc(N3C(=O)c4cc5cc6c(cc5cc4C3=O)Cc3cc4cc5c(cc4cc3C6)C(=O)N(*)C5=O)nc2c1	Tc	0.275479224
90	*Cc1cnc(N2C(=O)c3cc4cc5c(cc4cc3C2=O)Cc2cc3cc4c(cc3cc2C5)C(=O)N(*)C4=O)c2ccccc12	Tc	0.272265252
91	*Nc1cc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)ccn1	Tc	0.272235256
92	[*]C(=O)NNC(=O)c1cccc([*])n1	Tc	0.271586235
93	[*]C(=O)N([*])C=C	Tc	0.265542684
94	[*]Nc1cccc2c(NC(=O)c3cccc(C([*])=O)c3)cccc12	Tc	0.262781705
95	[*]CC#CC#CCn1c(=O)c2cc3c(=O)n([*])c(=O)c3cc2c1=O	Tc	0.25920692
96	[*]c1nc2cc(-c3ccc4[nH]c(-c5ccccc5[*])nc4c3)ccc2[nH]1	Tc	0.255048388
97	[*]c1cccc(NC(=O)c2cccc(C(=O)Nc3cccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)c3)c2)c1	Tc	0.253845851
98	*Cc1ccccc1N1C(=O)c2cc3cc4c(cc3cc2C1=O)Cc1cc2cc3c(cc2cc1C4)C(=O)N(*)C3=O	Tc	0.222858015
99	*C(=O)n1c(=O)n(C(=O)N=C=O)c(=O)n(C(=O)N2C(=O)c3cc4c(cc3C2=O)C2(C)CCC4(C)c3cc4c(cc32)C(=O)N(*)C4=O)c1=O	Tc	0.213775957
100	[*]C(C#N)=C(C#N)n1c(=O)c2cc3c(=O)n([*])c(=O)c3cc2c1=O	Tc	0.210918357
101	[*]c1nc2cc(-c3ccc4[nH]c(-c5c([*])ccc6ccccc56)nc4c3)ccc2[nH]1	Tc	0.210453854
102	*c1ccc2c(c1N1C(=O)c3cc4cc5c(cc4cc3C1=O)Cc1cc3cc4c(cc3cc1C5)C(=O)N(*)C4=O)C2	Tc	0.204451193
103	[*]Nc1ccccc1NC(=O)c1cccc(C([*])=O)c1	Tc	0.192273233
104	*CC*	Tc	0.456184962
105	*C(C*)C	Tc	0.25877338
106	*C(C*)CC	Tc	0.264363289
107	*C(C*)CCC	Tc	0.261130695
108	*C(C*)C(C)C	Tc	0.234342233
109	*C(C*)CCCC	Tc	0.275330549
110	*C(C*)CC(C)C	Tc	0.240918065
111	*C(C*)CCCCC	Tc	0.27463839
112	*C(C*)CCC(CC)C	Tc	0.265949678
113	*CC(*)(CC(=O)OCCC)C(=O)OCCC	Tc	0.225769616
114	*CC(*)C(=O)OCCO	Tc	0.297878745
115	*CC(*)(CCC(C)C(=O)OC)C(=O)OC	Tc	0.238137173
116	*CC(*)C(=O)OC1CCCCCCCCCCC1	Tc	0.245455632
117	*C(C*)Cl	Tc	0.142730624
118	*C(C*)(F)F	Tc	0.148188116
119	*CC(*)(Cl)Cl	Tc	0.096200541
120	*C(F)C(*)(F)F	Tc	0.14138687
121	*C(F)(F)C(F)(F)*	Tc	0.19501973
122	*C(C(*)(F)F)(Cl)F	Tc	0.119922243
123	*CCC=C(*)Cl	Tc	0.156164169
124	*C(=O)c1ccc2c(c1)C(=O)N(c1cc(C(c3ccc(O)c(N4C(=O)c5ccc(*)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)ccc1O)C2=O	Tc	0.189395669
125	*c1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(C8(c9ccc(Oc%10ccc%11c(c%10)C(=O)N(*)C%11=O)cc9)CCCCCCCCCCC8)cc7)cc6C5=O)cc4)cc3C)c(C)c2)cc1	Tc	0.271126559
126	*c1ccc(Cc2ccc(N3C(=O)c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)CCCCCCCCCCC6)cc5)cc4C3=O)cc2)cc1	Tc	0.234616466
127	*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(C7(c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)CCCCCCCCCCC7)cc6)cc5C4=O)cc3)c(C(C)(C)C)c2)cc1	Tc	0.253157391
128	*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(C9(c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)CCCCCCCCCCC9)cc8)cc7C6=O)cc5)cc4)CCC(C(C)(C)C)CC3)cc2)cc1	Tc	0.254842041
129	*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(C9(c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)CCCCCCCCCCC9)cc8)cc7C6=O)cc5)cc4)C4CC5CC(C4)CC3C5)cc2)cc1	Tc	0.2382015
130	*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc4ccc(Oc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4c3)cc1)C2=O	Tc	0.182668971
131	*c1ccc(Oc2ccc3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc3c2)cc1	Tc	0.289863471
132	*c1cccc(P(=O)(c2cccc(-n3c(=O)c4c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c5c(=O)n(*)c(=O)c5c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c4c3=O)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1	Tc	0.122779381
133	*c1cccc(P(=O)(c2ccc(C(F)(F)F)cc2)c2cccc(-n3c(=O)c4c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c5c(=O)n(*)c(=O)c5c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c4c3=O)c2)c1	Tc	0.130279594
134	[*]C=CC(=C[*])Cl	Tg	510.1524774
135	*C=CC(=O)N*	Tg	711.2135137
136	[*]CCC(COC(=O)C=C[*])C#N	Tg	657.2037003
137	[*]C=CC(=O)OCC(C[*](F)F)(F)F	Tg	522.155672
138	[*]C=CC(=O)OC[*]C#N	Tg	569.1149576
139	[*]CCCCCCCCCCCCCCCCCCOC(=O)C=C[*]	Tg	587.0836694
140	[*]C=CC(=O)OCCOC1[*]=CC=CC=C1	Tg	552.2045744
141	[*]C=CC(=O)OCC1[*]CCCO1	Tg	533.0893422
142	[*]CC(C)(C)C=C[*]	Tg	610.0985601
143	"C(=O)(O[S](c1ccccc1)c1ccccc1[*])O[S](c1ccccc1
)c1ccccc1[*]"	Tg	664.2017263
144	[*]CC[*]OC(=O)C(=C)C#N	Tg	695.1843713
145	O(C(=O)c1ccc(cc1)C(=O)OCCCCCCCCC[*])CCCCCCCCC[*]	Tg	562.2118562
146	[*]CCCCOC(=O)c1cccc(c1)C(=O)OCCCC[*]	Tg	570.1642723
147	"[*]C1=CC(=CC=C1C(=O)C2[*]=CC=C(C=C2)Cl)Cl"	Tg	701.1323407
148	[*]CCOC(=O)C=CC(=O)OCC[*]	Tg	557.1857489
149	[*]COC(=O)C=CC(=O)OC[*]	Tg	646.1003853
150	[*]CCCOC(=O)C=CC(=O)OCCC[*]	Tg	532.1082593
151	C(CO[*])CO[*]	Tg	470.1105527
152	[*]C[*]C(=O)Oc1ccccc1C(O)=O	Tg	480.175503
153	*COC(=O)CC(=C)C(=O)OC*	Tg	646.1003853
154	*CCCOC(=O)CC(=C)C(=O)OCCC*	Tg	579.1619211
155	[*]CC(OC(=O)C(C[*])=C)N(C)C	Tg	565.1971978
156	[*]CC(=C)C(=O)OC[*]C(F)(F)F	Tg	620.1546437
157	[*]CC(=C)C(=O)OCC(C(F)[*]F)(F)F	Tg	617.1631685
158	[*]CC(=C)C(=O)OCC1[*]CO1	Tg	607.155593
